Crop,MSP 2024-25 (_/quintal),MSP 2025-26 (_/quintal),Market Price 2024 (_/quintal),Market Price 2025 (_/quintal),Price Range (_/quintal),Notes
Coconut (Milling Copra),11160,11582,11000-12000,11500-12000,11000-12000,Ball Copra: ₹500-600 more
Gram (Chickpea),5440,5650,5200-5500,5600-5800,5200-5800,Rabi season pulse
Rice (Paddy Common),2300,2369,2300-2400,2400-2500,2300-2500,Grade A: ₹20 more than common
Wheat,2275,2425,2200-2300,2400-2500,2200-2500,Rabi season crop
Jowar (Hybrid),3371,3699,3200-3500,3600-3800,3200-3800,Maldandi variety: ₹50 more
Moth (Mothbean),4500,4800,4200-4800,4500-5000,4200-5000,Kharif season pulse
Rapeseed & Mustard,5650,5900,5500-6000,5800-6200,5500-6200,Rabi oilseed
Safflower,5800,6000,5500-6000,5500-6500,5500-6500,Minor oilseed crop
Sesamum,8500,9000,8000-9000,8500-9500,8000-9500,High-value oilseed
Sugarcane (FRP),340,355,330-350,350-370,330-370,"Per quintal, 10.25% recovery"
Sunflower,5500,5800,5200-5500,4000-4300,4000-5800,Seasonal price variation
Urad (Black Gram),6900,7200,12000-13000,12500-13500,12000-13500,Dal prices ₹128/kg
Arhar/Tur,7550,7800,12000-13000,12000-13000,12000-13000,Dal prices ₹120-135/kg
Cotton (Medium Staple),7121,7710,7000-7500,7500-8000,7000-8000,Long Staple: ₹400 more
Horse-gram,4500,4800,4000-4800,4500-5200,4000-5200,Drought tolerant pulse
Niger seed,6500,7000,6000-7000,6500-7500,6000-7500,Minor oilseed
Ragi (Finger Millet),3500,3800,2710-3120,5300-5900,2700-5900,Price varies by region
Tobacco,8500,9000,8000-9000,8500-9500,8000-9500,Flue cured Virginia
Sannhamp,3500,3800,3200-3800,3500-4200,3200-4200,Green manure crop
Small millets,2800,3000,2500-3000,2800-3500,2500-3500,Coarse cereals group
Barley,0,0,2300-2500,2350-2500,2300-2500,"No MSP, market-driven"
Other Rabi pulses,5000,5300,4800-5300,5000-5600,4800-5600,Mixed pulse varieties
Other Kharif pulses,4800,5100,4500-5100,4800-5400,4500-5400,Mixed pulse varieties
Soyabean,4892,5328,4200-4500,4200-4500,4200-5300,Kharif oilseed
Bajra (Pearl Millet),2625,2775,2170-2450,2000-2300,2000-2800,Coarse cereal
Castor seed,7500,8000,7000-8000,7500-8500,7000-8500,Industrial oilseed
